"go_id","name_1006","namespace_1003"
"1289","GO:0004080","biotin-[propionyl-CoA-carboxylase (ATP-hydrolyzing)] ligase activity","molecular_function"
"1290","GO:0004081","bis(5'-nucleosyl)-tetraphosphatase (asymmetrical) activity","molecular_function"
"1291","GO:0004082","bisphosphoglycerate mutase activity","molecular_function"
"1292","GO:0004083","bisphosphoglycerate 2-phosphatase activity","molecular_function"
"1293","GO:0004084","branched-chain-amino-acid transaminase activity","molecular_function"
"1294","GO:0004087","carbamoyl-phosphate synthase (ammonia) activity","molecular_function"
"1295","GO:0004089","carbonate dehydratase activity","molecular_function"
"1296","GO:0004090","carbonyl reductase (NADPH) activity","molecular_function"
"1297","GO:0004092","carnitine O-acetyltransferase activity","molecular_function"
"1298","GO:0004095","carnitine O-palmitoyltransferase activity","molecular_function"
"1299","GO:0004096","catalase activity","molecular_function"
"1300","GO:0004098","cerebroside-sulfatase activity","molecular_function"
"1301","GO:0004102","choline O-acetyltransferase activity","molecular_function"
"1302","GO:0004103","choline kinase activity","molecular_function"
"1303","GO:0004104","cholinesterase activity","molecular_function"
"1304","GO:0004108","citrate (Si)-synthase activity","molecular_function"
"1305","GO:0004109","coproporphyrinogen oxidase activity","molecular_function"
"1306","GO:0004111","creatine kinase activity","molecular_function"
"1307","GO:0004112","cyclic-nucleotide phosphodiesterase activity","molecular_function"
"1309","GO:0004114","3',5'-cyclic-nucleotide phosphodiesterase activity","molecular_function"
"1310","GO:0004115","3',5'-cyclic-AMP phosphodiesterase activity","molecular_function"
"1311","GO:0004117","calmodulin-dependent cyclic-nucleotide phosphodiesterase activity","molecular_function"
"1312","GO:0004118","cGMP-stimulated cyclic-nucleotide phosphodiesterase activity","molecular_function"
"1313","GO:0004122","cystathionine beta-synthase activity","molecular_function"
"1314","GO:0004123","cystathionine gamma-lyase activity","molecular_function"
"1315","GO:0004126","cytidine deaminase activity","molecular_function"
"1316","GO:0004127","cytidylate kinase activity","molecular_function"
"1317","GO:0004128","cytochrome-b5 reductase activity, acting on NAD(P)H","molecular_function"
"1319","GO:0004132","dCMP deaminase activity","molecular_function"
"1320","GO:0004133","glycogen debranching enzyme activity","molecular_function"
"1321","GO:0004134","4-alpha-glucanotransferase activity","molecular_function"
"1322","GO:0004135","amylo-alpha-1,6-glucosidase activity","molecular_function"
"1323","GO:0004137","deoxycytidine kinase activity","molecular_function"
"1324","GO:0004138","deoxyguanosine kinase activity","molecular_function"
"1325","GO:0004139","deoxyribose-phosphate aldolase activity","molecular_function"
"1326","GO:0004140","dephospho-CoA kinase activity","molecular_function"
"1327","GO:0004142","diacylglycerol cholinephosphotransferase activity","molecular_function"
"1328","GO:0004143","diacylglycerol kinase activity","molecular_function"
"1329","GO:0004144","diacylglycerol O-acyltransferase activity","molecular_function"
"1330","GO:0004145","diamine N-acetyltransferase activity","molecular_function"
"1331","GO:0004146","dihydrofolate reductase activity","molecular_function"
"1332","GO:0004148","dihydrolipoyl dehydrogenase activity","molecular_function"
"1333","GO:0004149","dihydrolipoyllysine-residue succinyltransferase activity","molecular_function"
"1334","GO:0004152","dihydroorotate dehydrogenase activity","molecular_function"
"1335","GO:0004155","6,7-dihydropteridine reductase activity","molecular_function"
"1336","GO:0004157","dihydropyrimidinase activity","molecular_function"
"1337","GO:0004158","dihydroorotate oxidase activity","molecular_function"
"1338","GO:0004161","dimethylallyltranstransferase activity","molecular_function"
"1339","GO:0004163","diphosphomevalonate decarboxylase activity","molecular_function"
"1340","GO:0004164","diphthine synthase activity","molecular_function"
"1341","GO:0004165","dodecenoyl-CoA delta-isomerase activity","molecular_function"
"1342","GO:0004167","dopachrome isomerase activity","molecular_function"
"1343","GO:0004168","dolichol kinase activity","molecular_function"
"1344","GO:0004169","dolichyl-phosphate-mannose-protein mannosyltransferase activity","molecular_function"
"1345","GO:0004170","dUTP diphosphatase activity","molecular_function"
"1346","GO:0004174","electron-transferring-flavoprotein dehydrogenase activity","molecular_function"
"1347","GO:0004175","endopeptidase activity","molecular_function"
"1348","GO:0004176","ATP-dependent peptidase activity","molecular_function"
"1349","GO:0004177","aminopeptidase activity","molecular_function"
"1350","GO:0004180","carboxypeptidase activity","molecular_function"
"1351","GO:0004181","metallocarboxypeptidase activity","molecular_function"
"1352","GO:0004185","serine-type carboxypeptidase activity","molecular_function"
"1353","GO:0004190","aspartic-type endopeptidase activity","molecular_function"
"1354","GO:0004197","cysteine-type endopeptidase activity","molecular_function"
"1355","GO:0004198","calcium-dependent cysteine-type endopeptidase activity","molecular_function"
"1356","GO:0004221","ubiquitin thiolesterase activity","molecular_function"
"1357","GO:0004222","metalloendopeptidase activity","molecular_function"
"1358","GO:0004252","serine-type endopeptidase activity","molecular_function"
"1359","GO:0004298","threonine-type endopeptidase activity","molecular_function"
"1360","GO:0004300","enoyl-CoA hydratase activity","molecular_function"
"1361","GO:0004301","epoxide hydrolase activity","molecular_function"
"1362","GO:0004303","estradiol 17-beta-dehydrogenase activity","molecular_function"
"1363","GO:0004305","ethanolamine kinase activity","molecular_function"
"1364","GO:0004306","ethanolamine-phosphate cytidylyltransferase activity","molecular_function"
"1365","GO:0004307","ethanolaminephosphotransferase activity","molecular_function"
"1366","GO:0004308","exo-alpha-sialidase activity","molecular_function"
"1367","GO:0004310","farnesyl-diphosphate farnesyltransferase activity","molecular_function"
"1368","GO:0004311","farnesyltranstransferase activity","molecular_function"
"1369","GO:0004312","fatty acid synthase activity","molecular_function"
"1370","GO:0004313","[acyl-carrier-protein] S-acetyltransferase activity","molecular_function"
"1371","GO:0004314","[acyl-carrier-protein] S-malonyltransferase activity","molecular_function"
"1372","GO:0004315","3-oxoacyl-[acyl-carrier-protein] synthase activity","molecular_function"
"1373","GO:0004316","3-oxoacyl-[acyl-carrier-protein] reductase (NADPH) activity","molecular_function"
"1374","GO:0004317","3-hydroxypalmitoyl-[acyl-carrier-protein] dehydratase activity","molecular_function"
"1375","GO:0004319","enoyl-[acyl-carrier-protein] reductase (NADPH, B-specific) activity","molecular_function"
"1376","GO:0004320","oleoyl-[acyl-carrier-protein] hydrolase activity","molecular_function"
"1377","GO:0004321","fatty-acyl-CoA synthase activity","molecular_function"
"1378","GO:0004322","ferroxidase activity","molecular_function"
"1379","GO:0004325","ferrochelatase activity","molecular_function"
"1380","GO:0004326","tetrahydrofolylpolyglutamate synthase activity","molecular_function"
"1381","GO:0004329","formate-tetrahydrofolate ligase activity","molecular_function"
"1382","GO:0004331","fructose-2,6-bisphosphate 2-phosphatase activity","molecular_function"
"1383","GO:0004332","fructose-bisphosphate aldolase activity","molecular_function"
"1384","GO:0004333","fumarate hydratase activity","molecular_function"
"1385","GO:0004334","fumarylacetoacetase activity","molecular_function"
"1386","GO:0004335","galactokinase activity","molecular_function"
"1387","GO:0004336","galactosylceramidase activity","molecular_function"
"1388","GO:0004337","geranyltranstransferase activity","molecular_function"
"1389","GO:0004340","glucokinase activity","molecular_function"
"1390","GO:0004341","gluconolactonase activity","molecular_function"
"1391","GO:0004342","glucosamine-6-phosphate deaminase activity","molecular_function"
"1392","GO:0004343","glucosamine 6-phosphate N-acetyltransferase activity","molecular_function"
"1393","GO:0004345","glucose-6-phosphate dehydrogenase activity","molecular_function"
"1394","GO:0004346","glucose-6-phosphatase activity","molecular_function"
"1395","GO:0004347","glucose-6-phosphate isomerase activity","molecular_function"
"1396","GO:0004348","glucosylceramidase activity","molecular_function"
"1397","GO:0004349","glutamate 5-kinase activity","molecular_function"
"1398","GO:0004350","glutamate-5-semialdehyde dehydrogenase activity","molecular_function"
"1399","GO:0004351","glutamate decarboxylase activity","molecular_function"
"1400","GO:0004352","glutamate dehydrogenase (NAD+) activity","molecular_function"
"1401","GO:0004353","glutamate dehydrogenase [NAD(P)+] activity","molecular_function"
"1402","GO:0004356","glutamate-ammonia ligase activity","molecular_function"
"1403","GO:0004357","glutamate-cysteine ligase activity","molecular_function"
"1404","GO:0004359","glutaminase activity","molecular_function"
"1405","GO:0004360","glutamine-fructose-6-phosphate transaminase (isomerizing) activity","molecular_function"
"1406","GO:0004361","glutaryl-CoA dehydrogenase activity","molecular_function"
"1407","GO:0004362","glutathione-disulfide reductase activity","molecular_function"
"1408","GO:0004363","glutathione synthase activity","molecular_function"
"1409","GO:0004364","glutathione transferase activity","molecular_function"
"1410","GO:0004365","glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity","molecular_function"
"1411","GO:0004366","glycerol-3-phosphate O-acyltransferase activity","molecular_function"
"1412","GO:0004367","glycerol-3-phosphate dehydrogenase [NAD+] activity","molecular_function"
"1413","GO:0004368","glycerol-3-phosphate dehydrogenase activity","molecular_function"
"1414","GO:0004370","glycerol kinase activity","molecular_function"
"1415","GO:0004371","glycerone kinase activity","molecular_function"
"1416","GO:0004372","glycine hydroxymethyltransferase activity","molecular_function"
"1417","GO:0004373","glycogen (starch) synthase activity","molecular_function"
"1418","GO:0004375","glycine dehydrogenase (decarboxylating) activity","molecular_function"
"1419","GO:0004378","GDP-Man:Man1GlcNAc2-PP-Dol alpha-1,3-mannosyltransferase activity","molecular_function"
"1420","GO:0004379","glycylpeptide N-tetradecanoyltransferase activity","molecular_function"
"1421","GO:0004380","glycoprotein-fucosylgalactoside alpha-N-acetylgalactosaminyltransferase activity","molecular_function"
"1422","GO:0004381","fucosylgalactoside 3-alpha-galactosyltransferase activity","molecular_function"
"1423","GO:0004382","guanosine-diphosphatase activity","molecular_function"
"1424","GO:0004383","guanylate cyclase activity","molecular_function"
"1425","GO:0004385","guanylate kinase activity","molecular_function"
"1426","GO:0004386","helicase activity","molecular_function"
"1427","GO:0004392","heme oxygenase (decyclizing) activity","molecular_function"
"1428","GO:0004394","heparan sulfate 2-O-sulfotransferase activity","molecular_function"
"1429","GO:0004396","hexokinase activity","molecular_function"
"1430","GO:0004397","histidine ammonia-lyase activity","molecular_function"
"1431","GO:0004398","histidine decarboxylase activity","molecular_function"
"1432","GO:0004402","histone acetyltransferase activity","molecular_function"
"1433","GO:0004407","histone deacetylase activity","molecular_function"
"1434","GO:0004408","holocytochrome-c synthase activity","molecular_function"
"1435","GO:0004411","homogentisate 1,2-dioxygenase activity","molecular_function"
"1436","GO:0004415","hyalurononglucosaminidase activity","molecular_function"
"1437","GO:0004416","hydroxyacylglutathione hydrolase activity","molecular_function"
"1438","GO:0004418","hydroxymethylbilane synthase activity","molecular_function"
"1439","GO:0004419","hydroxymethylglutaryl-CoA lyase activity","molecular_function"
"1440","GO:0004420","hydroxymethylglutaryl-CoA reductase (NADPH) activity","molecular_function"
"1441","GO:0004421","hydroxymethylglutaryl-CoA synthase activity","molecular_function"
"1442","GO:0004422","hypoxanthine phosphoribosyltransferase activity","molecular_function"
"1443","GO:0004427","inorganic diphosphatase activity","molecular_function"
"1444","GO:0004430","1-phosphatidylinositol 4-kinase activity","molecular_function"
"1446","GO:0004438","phosphatidylinositol-3-phosphatase activity","molecular_function"
"1447","GO:0004439","phosphatidylinositol-4,5-bisphosphate 5-phosphatase activity","molecular_function"
"1448","GO:0004441","inositol-1,4-bisphosphate 1-phosphatase activity","molecular_function"
"1449","GO:0004445","inositol-polyphosphate 5-phosphatase activity","molecular_function"
"1450","GO:0004447","iodide peroxidase activity","molecular_function"
"1451","GO:0004449","isocitrate dehydrogenase (NAD+) activity","molecular_function"
"1452","GO:0004450","isocitrate dehydrogenase (NADP+) activity","molecular_function"
"1453","GO:0004452","isopentenyl-diphosphate delta-isomerase activity","molecular_function"
"1454","GO:0004454","ketohexokinase activity","molecular_function"
"1455","GO:0004455","ketol-acid reductoisomerase activity","molecular_function"
"1456","GO:0004459","L-lactate dehydrogenase activity","molecular_function"
"1457","GO:0004461","lactose synthase activity","molecular_function"
"1458","GO:0004462","lactoylglutathione lyase activity","molecular_function"
"1459","GO:0004463","leukotriene-A4 hydrolase activity","molecular_function"
"1460","GO:0004464","leukotriene-C4 synthase activity","molecular_function"
"1461","GO:0004465","lipoprotein lipase activity","molecular_function"
"1462","GO:0004466","long-chain-acyl-CoA dehydrogenase activity","molecular_function"
"1463","GO:0004467","long-chain fatty acid-CoA ligase activity","molecular_function"
"1464","GO:0004468","lysine N-acetyltransferase activity, acting on acetyl phosphate as donor","molecular_function"
"1465","GO:0004470","malic enzyme activity","molecular_function"
"1466","GO:0004471","malate dehydrogenase (decarboxylating) (NAD+) activity","molecular_function"
"1467","GO:0004473","malate dehydrogenase (decarboxylating) (NADP+) activity","molecular_function"
"1468","GO:0004476","mannose-6-phosphate isomerase activity","molecular_function"
"1469","GO:0004477","methenyltetrahydrofolate cyclohydrolase activity","molecular_function"
"1470","GO:0004478","methionine adenosyltransferase activity","molecular_function"
"1471","GO:0004479","methionyl-tRNA formyltransferase activity","molecular_function"
"1472","GO:0004482","mRNA (guanine-N7-)-methyltransferase activity","molecular_function"
"1473","GO:0004483","mRNA (nucleoside-2'-O-)-methyltransferase activity","molecular_function"
"1474","GO:0004484","mRNA guanylyltransferase activity","molecular_function"
"1475","GO:0004487","methylenetetrahydrofolate dehydrogenase (NAD+) activity","molecular_function"
"1476","GO:0004488","methylenetetrahydrofolate dehydrogenase (NADP+) activity","molecular_function"
"1477","GO:0004489","methylenetetrahydrofolate reductase (NAD(P)H) activity","molecular_function"
"1478","GO:0004490","methylglutaconyl-CoA hydratase activity","molecular_function"
"1479","GO:0004491","methylmalonate-semialdehyde dehydrogenase (acylating) activity","molecular_function"
"1480","GO:0004493","methylmalonyl-CoA epimerase activity","molecular_function"
"1481","GO:0004494","methylmalonyl-CoA mutase activity","molecular_function"
"1482","GO:0004496","mevalonate kinase activity","molecular_function"
"1483","GO:0004497","monooxygenase activity","molecular_function"
"1484","GO:0004498","calcidiol 1-monooxygenase activity","molecular_function"
"1485","GO:0004499","N,N-dimethylaniline monooxygenase activity","molecular_function"
"1486","GO:0004500","dopamine beta-monooxygenase activity","molecular_function"
"1487","GO:0004502","kynurenine 3-monooxygenase activity","molecular_function"
"1488","GO:0004503","monophenol monooxygenase activity","molecular_function"
"1489","GO:0004504","peptidylglycine monooxygenase activity","molecular_function"
"1490","GO:0004505","phenylalanine 4-monooxygenase activity","molecular_function"
"1491","GO:0004506","squalene monooxygenase activity","molecular_function"
"1492","GO:0004508","steroid 17-alpha-monooxygenase activity","molecular_function"
"1493","GO:0004510","tryptophan 5-monooxygenase activity","molecular_function"
"1494","GO:0004511","tyrosine 3-monooxygenase activity","molecular_function"
"1495","GO:0004512","inositol-3-phosphate synthase activity","molecular_function"
"1496","GO:0004514","nicotinate-nucleotide diphosphorylase (carboxylating) activity","molecular_function"
"1497","GO:0004515","nicotinate-nucleotide adenylyltransferase activity","molecular_function"
"1498","GO:0004516","nicotinate phosphoribosyltransferase activity","molecular_function"
"1499","GO:0004517","nitric-oxide synthase activity","molecular_function"
"1500","GO:0004518","nuclease activity","molecular_function"
"1501","GO:0004519","endonuclease activity","molecular_function"
"1502","GO:0004520","endodeoxyribonuclease activity","molecular_function"
"1503","GO:0004521","endoribonuclease activity","molecular_function"
"1504","GO:0004522","pancreatic ribonuclease activity","molecular_function"
"1505","GO:0004523","RNA-DNA hybrid ribonuclease activity","molecular_function"
"1506","GO:0004525","ribonuclease III activity","molecular_function"
"1507","GO:0004526","ribonuclease P activity","molecular_function"
"1508","GO:0004527","exonuclease activity","molecular_function"
"1509","GO:0004530","deoxyribonuclease I activity","molecular_function"
"1510","GO:0004531","deoxyribonuclease II activity","molecular_function"
"1511","GO:0004532","exoribonuclease activity","molecular_function"
"1512","GO:0004534","5'-3' exoribonuclease activity","molecular_function"
"1513","GO:0004535","poly(A)-specific ribonuclease activity","molecular_function"
"1514","GO:0004536","deoxyribonuclease activity","molecular_function"
"1515","GO:0004540","ribonuclease activity","molecular_function"
"1516","GO:0004550","nucleoside diphosphate kinase activity","molecular_function"
"1517","GO:0004551","nucleotide diphosphatase activity","molecular_function"
"1518","GO:0004553","hydrolase activity, hydrolyzing O-glycosyl compounds","molecular_function"
"1519","GO:0004555","alpha,alpha-trehalase activity","molecular_function"
"1520","GO:0004556","alpha-amylase activity","molecular_function"
"1521","GO:0004557","alpha-galactosidase activity","molecular_function"
"1522","GO:0004558","alpha-1,4-glucosidase activity","molecular_function"
"1523","GO:0004559","alpha-mannosidase activity","molecular_function"
"1524","GO:0004560","alpha-L-fucosidase activity","molecular_function"
"1525","GO:0004563","beta-N-acetylhexosaminidase activity","molecular_function"
"1526","GO:0004565","beta-galactosidase activity","molecular_function"
"1527","GO:0004566","beta-glucuronidase activity","molecular_function"
"1528","GO:0004567","beta-mannosidase activity","molecular_function"
"1529","GO:0004568","chitinase activity","molecular_function"
"1530","GO:0004569","glycoprotein endo-alpha-1,2-mannosidase activity","molecular_function"
"1531","GO:0004571","mannosyl-oligosaccharide 1,2-alpha-mannosidase activity","molecular_function"
"1532","GO:0004573","mannosyl-oligosaccharide glucosidase activity","molecular_function"
"1533","GO:0004576","oligosaccharyl transferase activity","molecular_function"
"1534","GO:0004579","dolichyl-diphosphooligosaccharide-protein glycotransferase activity","molecular_function"
"1535","GO:0004582","dolichyl-phosphate beta-D-mannosyltransferase activity","molecular_function"
"1536","GO:0004585","ornithine carbamoyltransferase activity","molecular_function"
"1537","GO:0004586","ornithine decarboxylase activity","molecular_function"
"1538","GO:0004587","ornithine-oxo-acid transaminase activity","molecular_function"
"1539","GO:0004588","orotate phosphoribosyltransferase activity","molecular_function"
"1540","GO:0004590","orotidine-5'-phosphate decarboxylase activity","molecular_function"
"1541","GO:0004591","oxoglutarate dehydrogenase (succinyl-transferring) activity","molecular_function"
"1542","GO:0004594","pantothenate kinase activity","molecular_function"
"1543","GO:0004595","pantetheine-phosphate adenylyltransferase activity","molecular_function"
"1544","GO:0004596","peptide alpha-N-acetyltransferase activity","molecular_function"
"1545","GO:0004597","peptide-aspartate beta-dioxygenase activity","molecular_function"
"1546","GO:0004598","peptidylamidoglycolate lyase activity","molecular_function"
"1547","GO:0004601","peroxidase activity","molecular_function"
"1548","GO:0004602","glutathione peroxidase activity","molecular_function"
"1549","GO:0004605","phosphatidate cytidylyltransferase activity","molecular_function"
"1550","GO:0004607","phosphatidylcholine-sterol O-acyltransferase activity","molecular_function"
"1551","GO:0004609","phosphatidylserine decarboxylase activity","molecular_function"
"1552","GO:0004610","phosphoacetylglucosamine mutase activity","molecular_function"
"1553","GO:0004611","phosphoenolpyruvate carboxykinase activity","molecular_function"
"1554","GO:0004613","phosphoenolpyruvate carboxykinase (GTP) activity","molecular_function"
"1555","GO:0004614","phosphoglucomutase activity","molecular_function"
"1556","GO:0004615","phosphomannomutase activity","molecular_function"
"1557","GO:0004616","phosphogluconate dehydrogenase (decarboxylating) activity","molecular_function"
"1558","GO:0004617","phosphoglycerate dehydrogenase activity","molecular_function"
"1559","GO:0004618","phosphoglycerate kinase activity","molecular_function"
"1560","GO:0004619","phosphoglycerate mutase activity","molecular_function"
"1561","GO:0004620","phospholipase activity","molecular_function"
"1562","GO:0004621","glycosylphosphatidylinositol phospholipase D activity","molecular_function"
"1563","GO:0004622","lysophospholipase activity","molecular_function"
"1564","GO:0004623","phospholipase A2 activity","molecular_function"
"1565","GO:0004629","phospholipase C activity","molecular_function"
"1566","GO:0004630","phospholipase D activity","molecular_function"
"1567","GO:0004631","phosphomevalonate kinase activity","molecular_function"
"1568","GO:0004632","phosphopantothenate--cysteine ligase activity","molecular_function"
"1569","GO:0004633","phosphopantothenoylcysteine decarboxylase activity","molecular_function"
"1570","GO:0004634","phosphopyruvate hydratase activity","molecular_function"
"1571","GO:0004637","phosphoribosylamine-glycine ligase activity","molecular_function"
"1572","GO:0004638","phosphoribosylaminoimidazole carboxylase activity","molecular_function"
"1573","GO:0004639","phosphoribosylaminoimidazolesuccinocarboxamide synthase activity","molecular_function"
"1574","GO:0004641","phosphoribosylformylglycinamidine cyclo-ligase activity","molecular_function"
"1575","GO:0004642","phosphoribosylformylglycinamidine synthase activity","molecular_function"
"1576","GO:0004643","phosphoribosylaminoimidazolecarboxamide formyltransferase activity","molecular_function"
"1577","GO:0004644","phosphoribosylglycinamide formyltransferase activity","molecular_function"
"1578","GO:0004645","phosphorylase activity","molecular_function"
"1579","GO:0004647","phosphoserine phosphatase activity","molecular_function"
"1580","GO:0004648","O-phospho-L-serine:2-oxoglutarate aminotransferase activity","molecular_function"
"1581","GO:0004649","poly(ADP-ribose) glycohydrolase activity","molecular_function"
"1582","GO:0004651","polynucleotide 5'-phosphatase activity","molecular_function"
"1583","GO:0004652","polynucleotide adenylyltransferase activity","molecular_function"
"1584","GO:0004653","polypeptide N-acetylgalactosaminyltransferase activity","molecular_function"
"1585","GO:0004654","polyribonucleotide nucleotidyltransferase activity","molecular_function"
"1586","GO:0004655","porphobilinogen synthase activity","molecular_function"
"1587","GO:0004656","procollagen-proline 4-dioxygenase activity","molecular_function"
"1588","GO:0004657","proline dehydrogenase activity","molecular_function"
"1589","GO:0004658","propionyl-CoA carboxylase activity","molecular_function"
"1590","GO:0004659","prenyltransferase activity","molecular_function"
"1591","GO:0004660","protein farnesyltransferase activity","molecular_function"
"1592","GO:0004661","protein geranylgeranyltransferase activity","molecular_function"
"1593","GO:0004663","Rab geranylgeranyltransferase activity","molecular_function"
"1594","GO:0004666","prostaglandin-endoperoxide synthase activity","molecular_function"
"1595","GO:0004667","prostaglandin-D synthase activity","molecular_function"
"1596","GO:0004668","protein-arginine deiminase activity","molecular_function"
"1597","GO:0004671","protein C-terminal S-isoprenylcysteine carboxyl O-methyltransferase activity","molecular_function"
"1599","GO:0004673","protein histidine kinase activity","molecular_function"
"1601","GO:0004675","transmembrane receptor protein serine/threonine kinase activity","molecular_function"
"1602","GO:0004676","3-phosphoinositide-dependent protein kinase activity","molecular_function"
"1603","GO:0004677","DNA-dependent protein kinase activity","molecular_function"
"1604","GO:0004679","AMP-activated protein kinase activity","molecular_function"
"1605","GO:0004683","calmodulin-dependent protein kinase activity","molecular_function"
"1606","GO:0004686","elongation factor-2 kinase activity","molecular_function"
"1607","GO:0004687","myosin light chain kinase activity","molecular_function"
"1608","GO:0004689","phosphorylase kinase activity","molecular_function"
"1609","GO:0004691","cAMP-dependent protein kinase activity","molecular_function"
"1610","GO:0004692","cGMP-dependent protein kinase activity","molecular_function"
"1611","GO:0004693","cyclin-dependent protein serine/threonine kinase activity","molecular_function"
"1612","GO:0004694","eukaryotic translation initiation factor 2alpha kinase activity","molecular_function"
"1613","GO:0004697","protein kinase C activity","molecular_function"
"1614","GO:0004698","calcium-dependent protein kinase C activity","molecular_function"
"1615","GO:0004699","calcium-independent protein kinase C activity","molecular_function"
"1616","GO:0004702","receptor signaling protein serine/threonine kinase activity","molecular_function"
"1617","GO:0004703","G-protein coupled receptor kinase activity","molecular_function"
"1618","GO:0004704","NF-kappaB-inducing kinase activity","molecular_function"
"1619","GO:0004705","JUN kinase activity","molecular_function"
"1620","GO:0004707","MAP kinase activity","molecular_function"
"1622","GO:0004709","MAP kinase kinase kinase activity","molecular_function"
"1623","GO:0004711","ribosomal protein S6 kinase activity","molecular_function"
"1624","GO:0004712","protein serine/threonine/tyrosine kinase activity","molecular_function"
"1626","GO:0004714","transmembrane receptor protein tyrosine kinase activity","molecular_function"
"1628","GO:0004716","receptor signaling protein tyrosine kinase activity","molecular_function"
"1629","GO:0004719","protein-L-isoaspartate (D-aspartate) O-methyltransferase activity","molecular_function"
"1630","GO:0004720","protein-lysine 6-oxidase activity","molecular_function"
"1631","GO:0004721","phosphoprotein phosphatase activity","molecular_function"
"1632","GO:0004722","protein serine/threonine phosphatase activity","molecular_function"
"1633","GO:0004725","protein tyrosine phosphatase activity","molecular_function"
"1634","GO:0004726","non-membrane spanning protein tyrosine phosphatase activity","molecular_function"
"1636","GO:0004729","oxygen-dependent protoporphyrinogen oxidase activity","molecular_function"
"1637","GO:0004731","purine-nucleoside phosphorylase activity","molecular_function"
"1638","GO:0004733","pyridoxamine-phosphate oxidase activity","molecular_function"
"1639","GO:0004735","pyrroline-5-carboxylate reductase activity","molecular_function"
"1640","GO:0004736","pyruvate carboxylase activity","molecular_function"
"1641","GO:0004738","pyruvate dehydrogenase activity","molecular_function"
"1642","GO:0004739","pyruvate dehydrogenase (acetyl-transferring) activity","molecular_function"
"1643","GO:0004740","pyruvate dehydrogenase (acetyl-transferring) kinase activity","molecular_function"
"1644","GO:0004741","[pyruvate dehydrogenase (lipoamide)] phosphatase activity","molecular_function"
"1645","GO:0004742","dihydrolipoyllysine-residue acetyltransferase activity","molecular_function"
"1646","GO:0004743","pyruvate kinase activity","molecular_function"
"1647","GO:0004744","retinal isomerase activity","molecular_function"
"1648","GO:0004745","retinol dehydrogenase activity","molecular_function"
"1649","GO:0004747","ribokinase activity","molecular_function"
"1650","GO:0004748","ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor","molecular_function"
"1651","GO:0004749","ribose phosphate diphosphokinase activity","molecular_function"
"1652","GO:0004750","ribulose-phosphate 3-epimerase activity","molecular_function"
"1653","GO:0004751","ribose-5-phosphate isomerase activity","molecular_function"
"1654","GO:0004756","selenide, water dikinase activity","molecular_function"
"1655","GO:0004757","sepiapterin reductase activity","molecular_function"
"1656","GO:0004758","serine C-palmitoyltransferase activity","molecular_function"
"1657","GO:0004760","serine-pyruvate transaminase activity","molecular_function"
"1658","GO:0004766","spermidine synthase activity","molecular_function"
"1660","GO:0004768","stearoyl-CoA 9-desaturase activity","molecular_function"
"1661","GO:0004769","steroid delta-isomerase activity","molecular_function"
"1662","GO:0004771","sterol esterase activity","molecular_function"
"1663","GO:0004772","sterol O-acyltransferase activity","molecular_function"
"1664","GO:0004775","succinate-CoA ligase (ADP-forming) activity","molecular_function"
"1665","GO:0004776","succinate-CoA ligase (GDP-forming) activity","molecular_function"
"1666","GO:0004781","sulfate adenylyltransferase (ATP) activity","molecular_function"
"1667","GO:0004784","superoxide dismutase activity","molecular_function"
"1668","GO:0004788","thiamine diphosphokinase activity","molecular_function"
"1669","GO:0004790","thioether S-methyltransferase activity","molecular_function"
"1670","GO:0004791","thioredoxin-disulfide reductase activity","molecular_function"
"1671","GO:0004792","thiosulfate sulfurtransferase activity","molecular_function"
"1672","GO:0004796","thromboxane-A synthase activity","molecular_function"
"1673","GO:0004797","thymidine kinase activity","molecular_function"
"1674","GO:0004798","thymidylate kinase activity","molecular_function"
"1675","GO:0004799","thymidylate synthase activity","molecular_function"
"1676","GO:0004800","thyroxine 5'-deiodinase activity","molecular_function"
"1677","GO:0004801","sedoheptulose-7-phosphate:D-glyceraldehyde-3-phosphate glyceronetransferase activity","molecular_function"
"1678","GO:0004802","transketolase activity","molecular_function"
"1679","GO:0004803","transposase activity","molecular_function"
"1680","GO:0004806","triglyceride lipase activity","molecular_function"
"1681","GO:0004807","triose-phosphate isomerase activity","molecular_function"
"1682","GO:0004809","tRNA (guanine-N2-)-methyltransferase activity","molecular_function"
"1683","GO:0004810","tRNA adenylyltransferase activity","molecular_function"
"1685","GO:0004813","alanine-tRNA ligase activity","molecular_function"
"1686","GO:0004814","arginine-tRNA ligase activity","molecular_function"
"1687","GO:0004815","aspartate-tRNA ligase activity","molecular_function"
"1688","GO:0004816","asparagine-tRNA ligase activity","molecular_function"
"1689","GO:0004817","cysteine-tRNA ligase activity","molecular_function"
"1690","GO:0004818","glutamate-tRNA ligase activity","molecular_function"
"1691","GO:0004819","glutamine-tRNA ligase activity","molecular_function"
"1692","GO:0004820","glycine-tRNA ligase activity","molecular_function"
"1694","GO:0004822","isoleucine-tRNA ligase activity","molecular_function"
"1695","GO:0004823","leucine-tRNA ligase activity","molecular_function"
"1696","GO:0004824","lysine-tRNA ligase activity","molecular_function"
"1697","GO:0004825","methionine-tRNA ligase activity","molecular_function"
"1698","GO:0004826","phenylalanine-tRNA ligase activity","molecular_function"
